time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.818067129701376,0,0,0,[],[]
0.8181018517352641,6,1.0,0.0,"[0.0062871878035366535, 0.0008363309316337109, 0.0773188890889287, 0.0773188890889287, 0.0773188890889287, 0.0773188890889287]","[1, 2, 1, 1, 1, 1]"
0.8181134257465601,2,1.0,0.0,"[0.010015648324042559, 0.010010115802288055]","[1, 1]"
0.8181250002235174,3,1.0,0.0,"[0.001332580577582121, 0.001332580577582121, 0.020778784528374672]","[1, 1, 1]"
0.8181365742348135,1,1.0,0.0,[0.029275451321154833],[1]
0.8181481482461095,3,1.0,0.0,"[0.0019051735289394855, 0.0006804629229009151, 0.011200451292097569]","[1, 1, 1]"
0.8181597222574055,4,1.0,0.0,"[0.007815162185579538, 0.02051708335056901, 0.053334363270550966, 0.040882129687815905]","[2, 1, 1, 1, 2, 2, 2, 2]"
0.8181712962687016,1,1.0,0.0,[0.015717650298029184],[1]
0.8181828702799976,1,1.0,0.0,[0.009562985971570015],[1]
0.8181944442912936,2,1.0,0.0,"[0.010397558100521564, 0.016574780456721783]","[1, 1]"
0.8182060183025897,1,1.0,0.0,[0.049335625022649765],[2]
0.818229166790843,3,1.0,0.0,"[0.46505793975666165, 0.006453136447817087, 0.009449837729334831]","[1, 1, 1]"
0.818240740802139,1,1.0,0.0,[0.005880381911993027],[1]
0.8182523148134351,1,1.0,0.0,[0.0022286688908934593],"[1, 1]"
0.8182638888247311,4,1.0,0.0,"[0.005954282358288765, 0.017616157419979572, 0.017616157419979572, 2.504652366042137e-05]","[1, 1, 1, 1]"
0.8182754628360271,3,1.0,0.0,"[0.002769641112536192, 0.00679776631295681, 0.06513162050396204]","[1, 1, 1]"
0.8182870368473232,3,0.3,0.7,"[0.0012681367807090282, 0.10957460664212704, 0.08732363441959023]","[1, 1, 1]"
0.8182986113242805,7,1.0,0.0,"[0.056297904811799526, 0.0012567010708153248, 0.3443087264895439, 0.32213344890624285, 0.13192330999299884, 0.34430852998048067, 0.3221334256231785]","[2, 1, 1, 1, 1, 1, 1]"
0.8183101853355765,1,1.0,0.0,[0.008086492773145437],[1]
0.8183217593468726,1,1.0,0.0,[0.02697945572435856],[1]
0.8183333333581686,1,1.0,0.0,[0.07958957180380821],[2]
