time,request_count,regular_vm_count,evictable_vm_count,lifetime_distribution,vcpu_distribution
0.818067129701376,0,0,0,[],[]
0.8181018517352641,1,1.0,0.0,[0.0062871878035366535],"[1, 1, 1, 1, 1]"
0.8181134257465601,2,1.0,0.0,"[0.010015648324042559, 0.010010115802288055]","[1, 1]"
0.8181250002235174,3,1.0,0.0,"[0.001332580577582121, 0.001332580577582121, 0.020778784528374672]","[1, 1, 1]"
0.8181365742348135,1,1.0,0.0,[0.029275451321154833],[1]
0.8181481482461095,3,1.0,0.0,"[0.0019051735289394855, 0.0006804629229009151, 0.011200451292097569]","[1, 1, 1]"
0.8181597222574055,2,1.0,0.0,"[0.02051708335056901, 0.040882129687815905]","[1, 1, 1]"
0.8181712962687016,1,1.0,0.0,[0.015717650298029184],[1]
0.8181828702799976,1,1.0,0.0,[0.009562985971570015],[1]
0.8181944442912936,2,1.0,0.0,"[0.010397558100521564, 0.016574780456721783]","[1, 1]"
0.8182060183025897,0,0,0,[],[]
0.818229166790843,2,1.0,0.0,"[0.006453136447817087, 0.009449837729334831]","[1, 1, 1]"
0.818240740802139,1,1.0,0.0,[0.005880381911993027],[1]
0.8182523148134351,1,1.0,0.0,[0.0022286688908934593],"[1, 1]"
0.8182638888247311,0,0,0,[],[]
0.8182754628360271,2,1.0,0.0,"[0.002769641112536192, 0.00679776631295681]","[1, 1, 1]"
0.8182870368473232,1,0.3,0.7,[0.0012681367807090282],"[1, 1, 1]"
0.8182986113242805,1,1.0,0.0,[0.0012567010708153248],"[1, 1, 1, 1, 1, 1]"
0.8183101853355765,1,1.0,0.0,[0.008086492773145437],[1]
0.8183217593468726,1,1.0,0.0,[0.02697945572435856],[1]
0.8183333333581686,0,0,0,[],[]
0.8183449073694646,0,0,0,[],[]
0.8183564813807607,0,0,0,[],[]
0.8183680553920567,2,1.0,0.0,"[0.008060301188379526, 0.03614903939887881]","[1, 1]"
0.8183796294033527,2,1.0,0.0,"[0.007695173844695091, 0.007695173844695091]","[1, 1]"
0.8183912038803101,1,1.0,0.0,[0.007891817018389702],[1]
0.8184143519029021,2,1.0,0.0,"[0.025565404910594225, 0.0196599536575377]","[1, 1]"
0.8184259259141982,0,0,0,[],[]
0.8184374999254942,1,1.0,0.0,[0.017318611033260822],[1]
0.8184490739367902,0,0,0,[],[]
0.8184606479480863,0,0,0,[],[]
0.8184722224250436,1,1.0,0.0,[0.02568538160994649],[1]
0.8184837964363396,0,0,0,[],[]
0.8184953704476357,3,1.0,0.0,"[0.0033527431078255177, 0.0018728701397776604, 0.0003331713378429413]","[1, 1, 1]"
0.8185069444589317,1,1.0,0.0,[0.0008738888427615166],[1]
0.8185185184702277,1,1.0,0.0,[0.0025079050101339817],[1]
0.8185300924815238,1,1.0,0.0,[0.0016766204498708248],[1]
0.8185416664928198,1,1.0,0.0,[0.005238079000264406],[1]
0.8185532409697771,0,0,0,[],[]
0.8185648149810731,2,1.0,0.0,"[0.00805569440126419, 0.011398552916944027]","[1, 1]"
0.8185763889923692,2,1.0,0.0,"[0.0016350578516721725, 0.0016350578516721725]","[1, 1]"
0.8185879630036652,1,1.0,0.0,[0.0012889928184449673],"[1, 1]"
0.8185995370149612,2,1.0,0.0,"[0.002859039232134819, 0.006603530142456293]","[1, 1, 1, 1, 1, 1]"
0.8186111110262573,0,0,0,[],[]
0.8186226850375533,2,1.0,0.0,"[0.0011030323803424835, 0.0011030323803424835]","[1, 1]"
0.8186342590488493,2,1.0,0.0,"[0.008513414766639471, 0.017278599552810192]","[1, 1]"
