clk,pd,gs
1,0.0625,0.0
2,0.125,0.0
3,0.1875,0.0
4,0.25,0.0
5,0.3125,0.0
6,0.375,0.0
7,0.4375,0.0
8,0.5,0.0
9,0.5625,0.0
10,0.625,0.0
11,0.6875,0.0
12,0.75,0.0
13,0.5416666666666666,0.0
14,0.5833333333333334,0.0
15,0.625,0.0
16,0.6666666666666666,0.2
17,0.7083333333333334,0.2
18,0.75,0.2
19,0.6785714285714286,0.2
20,0.7142857142857143,0.2
21,0.75,0.2
22,0.6875,0.2
23,0.71875,0.2
24,0.75,0.2
25,0.6944444444444444,0.2
26,0.7222222222222222,0.2
27,0.75,0.2
29,0.7777777777777778,0.4
33,0.8055555555555556,0.6
44,0.8333333333333334,0.8
49,0.8611111111111112,1.0
51,0.8888888888888888,1.2
54,0.9166666666666666,1.4
57,0.9444444444444444,1.6
62,0.9722222222222222,1.8
67,1.0,2.0
