clk,pd,gs
1,0.0625,0.0
2,0.125,0.0
3,0.1875,0.0
4,0.25,0.0
5,0.3125,0.0
6,0.375,0.0
7,0.4375,0.0
8,0.5,0.0
9,0.5625,0.0
10,0.625,0.0
11,0.6875,0.0
12,0.75,0.0
13,0.8125,0.2
14,0.875,0.4
15,0.9375,0.6
16,1.0,0.8
17,0.7083333333333334,0.8
18,0.75,0.8
19,0.7916666666666666,0.8
20,0.8333333333333334,0.8
21,0.875,0.8
22,0.9166666666666666,1.0
23,0.9583333333333334,1.2
24,1.0,1.4
25,0.8928571428571429,1.4
26,0.9285714285714286,1.4
27,0.9642857142857143,1.4
28,1.0,1.6
29,0.90625,1.6
30,0.9375,1.6
31,0.96875,1.6
32,1.0,1.8
33,0.9166666666666666,1.8
34,0.9444444444444444,1.8
35,0.9722222222222222,1.8
36,1.0,2.0
