time,vm-name,type,vm-vcpus,did-fail,inventory
1706156241.4349148,vm-validation-0,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 1, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156252.2305298,vm-validation-1,evictable,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 2, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156261.4237678,vm-validation-2,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 3, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156270.4183197,vm-validation-3,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 4, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156282.1026278,vm-validation-4,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 5, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156293.646372,vm-validation-5,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 6, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156305.7496583,vm-validation-6,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 7, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156317.7075908,vm-validation-7,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 8, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156330.1708798,vm-validation-8,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 9, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
1706156342.7890193,vm-validation-9,regular,1,False,"[{'host-ip': '100.64.42.12', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.13', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.14', 'reg-cores-avl': 3, 'reg-cores-usg': 0, 'green-cores-avl': 1, 'green-cores-usg': 0}, {'host-ip': '100.64.42.15', 'reg-cores-avl': 12, 'reg-cores-usg': 10, 'green-cores-avl': 4, 'green-cores-usg': 0}, {'host-ip': '100.64.42.11', 'reg-cores-avl': 5, 'reg-cores-usg': 0, 'green-cores-avl': 3, 'green-cores-usg': 0}]"
