days,cores,lifetime,isEvictable
0.003711,8,0.618096,true
0.005503,1,0.009554,false
0.006429,1,0.025172,false
0.011757,1,0.035702,false
0.005230,4,0.542630,true
0.006329,1,0.011513,false
0.002863,1,0.074261,false
0.001559,1,0.008625,true
0.002018,1,0.000084,false
0.006083,8,1.215879,true
0.013428,4,0.025753,true
0.008199,2,0.001792,true
0.012626,1,0.021087,false
0.008322,1,0.232185,false
0.016694,1,0.023323,false
0.019829,1,0.035172,false
0.003354,1,0.098062,false
0.001678,1,0.041812,false
0.008192,2,0.301545,true
0.008400,1,0.020888,false
0.005186,8,0.002618,true
